model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
pp_ocrv5_server_rec                    end_to_end        6      446.7     8384.3   18.77
pp_formulanet_plus_s_encoder           end_to_end        6       48.8      712.0   14.58
resnet18_winograd                      end_to_end        6       11.1       49.5    4.44
pp_ocrv6_medium_rec_int8               end_to_end        6       20.7       86.4    4.17
pp_ocrv6_small_rec_int8                end_to_end        6        9.1       33.7    3.73
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.5        9.0    3.64
chineseocr_lite_anglenet               end_to_end        6        0.8        2.3    3.01
pp_ocrv6_small_rec                     end_to_end        6       10.4       28.0    2.69
pp_ocrv6_tiny_rec                      end_to_end        6        2.8        7.5    2.65
yolov5n_cls                            end_to_end        6        3.0        8.0    2.61
efficientnet_b0                        end_to_end        6        9.1       23.1    2.55
squeezenet_v1_1                        end_to_end        6        5.2       12.7    2.44
resnet18                               end_to_end        6       11.8       28.1    2.38
yolov5m_cls                            end_to_end        6       12.9       30.4    2.35
efficientnet_b2                        end_to_end        6       18.3       42.8    2.33
resnet34                               end_to_end        6       19.3       44.8    2.33
pp_ocrv6_medium_rec                    end_to_end        6       34.3       78.5    2.29
pp_ocrv5_server_det_static             end_to_end        6     4505.2    10300.1    2.29
efficientnet_b1                        end_to_end        6       15.1       31.7    2.10
efficientnet_b3                        end_to_end        6       37.3       75.3    2.02
pp_ocrv6_medium_det_int8               end_to_end        6        3.4        6.8    2.01
yolov5l_cls                            end_to_end        6       29.1       58.2    2.00
pp_ocrv6_tiny_det                      end_to_end        6       47.3       93.9    1.99
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.0        6.0    1.98
pp_lcnet_x1_0_textline_ori             end_to_end        6        3.8        7.4    1.96
resnet50                               end_to_end        6       27.2       53.2    1.96
yolov5l_seg                            end_to_end        6      350.8      685.6    1.95
resnet101                              end_to_end        6       44.6       85.3    1.91
yolov5x_seg                            end_to_end        6      550.0     1049.4    1.91
yolov5x_cls                            end_to_end        6       43.4       80.7    1.86
pp_ocrv6_small_det                     end_to_end        6       85.4      158.0    1.85
yolov5x                                end_to_end        6      433.2      792.5    1.83
yolov5l                                end_to_end        6      289.1      520.9    1.80
yolov5s_cls                            end_to_end        6        6.7       11.5    1.72
pp_structrurev2_slanet_plus_cnn        end_to_end        6       38.1       62.2    1.63
pp_ocrv5_mobile_rec_int8               end_to_end        6       19.4       31.6    1.63
yolov5m_seg                            end_to_end        6      206.4      321.2    1.56
pp_ocrv6_medium_det                    end_to_end        6      357.9      553.4    1.55
yolov5m                                end_to_end        6      150.2      221.9    1.48
yolov5n_seg                            end_to_end        6       57.8       84.1    1.46
yolov5s_seg                            end_to_end        6      116.7      162.3    1.39
yolov5n                                end_to_end        6       41.5       53.9    1.30
yolov5s                                end_to_end        6       82.9       97.9    1.18
pp_ocrv5_mobile_rec                    end_to_end        6       21.1       24.9    1.18
pp_ocrv5_mobile_det_static             end_to_end        6      102.2      112.1    1.10
mode=end_to_end n=45 p50=1.99 p90=3.69 max=18.77 records=45
  heavy(ncnn>=100ms) n=11 p50=1.80 p90=2.29 max=18.77
