model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
pp_ocrv5_server_rec                    end_to_end        6      453.6     8768.3   19.33
pp_formulanet_plus_s_encoder           end_to_end        6       60.0      903.3   15.06
resnet18_winograd                      end_to_end        6       12.0       56.7    4.71
pp_ocrv6_medium_rec_int8               end_to_end        6       23.8      108.0    4.54
pp_ocrv6_small_rec_int8                end_to_end        6        9.9       43.7    4.41
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.9       11.2    3.81
chineseocr_lite_anglenet               end_to_end        6        0.9        2.5    2.91
resnet18                               end_to_end        6       11.3       30.3    2.67
squeezenet_v1_1                        end_to_end        6        5.4       14.4    2.67
pp_ocrv6_small_rec                     end_to_end        6       12.5       33.2    2.65
resnet34                               end_to_end        6       21.7       56.3    2.59
pp_ocrv5_server_det_static             end_to_end        6     4632.9    10960.7    2.37
pp_ocrv6_tiny_rec                      end_to_end        6        3.6        8.5    2.34
efficientnet_b0                        end_to_end        6       11.4       26.1    2.29
efficientnet_b2                        end_to_end        6       22.0       50.1    2.28
yolov5l_cls                            end_to_end        6       28.3       64.4    2.27
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.1        6.8    2.15
pp_ocrv6_medium_rec                    end_to_end        6       41.5       88.9    2.15
pp_ocrv6_medium_det_int8               end_to_end        6        3.5        7.5    2.12
pp_ocrv6_tiny_det                      end_to_end        6       51.1      106.9    2.09
efficientnet_b3                        end_to_end        6       37.3       77.4    2.08
efficientnet_b1                        end_to_end        6       15.9       32.9    2.07
yolov5s_cls                            end_to_end        6        7.3       14.7    2.02
yolov5n_cls                            end_to_end        6        4.4        8.8    2.01
yolov5l_seg                            end_to_end        6      409.2      807.7    1.97
pp_ocrv6_small_det                     end_to_end        6       95.8      186.3    1.95
yolov5m_cls                            end_to_end        6       14.8       28.6    1.93
resnet50                               end_to_end        6       31.8       61.2    1.92
yolov5l                                end_to_end        6      325.7      605.6    1.86
yolov5x_seg                            end_to_end        6      644.1     1195.6    1.86
yolov5x                                end_to_end        6      526.2      950.2    1.81
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.4        8.0    1.80
yolov5x_cls                            end_to_end        6       53.6       96.3    1.80
resnet101                              end_to_end        6       52.6       94.4    1.79
pp_ocrv5_mobile_rec_int8               end_to_end        6       23.5       40.7    1.73
pp_structrurev2_slanet_plus_cnn        end_to_end        6       42.8       73.1    1.71
pp_ocrv6_medium_det                    end_to_end        6      421.0      655.0    1.56
yolov5m_seg                            end_to_end        6      240.5      367.9    1.53
yolov5m                                end_to_end        6      172.7      263.9    1.53
pp_ocrv5_mobile_rec                    end_to_end        6       22.5       33.7    1.50
yolov5n_seg                            end_to_end        6       64.1       91.6    1.43
yolov5s_seg                            end_to_end        6      133.2      186.5    1.40
yolov5n                                end_to_end        6       46.7       61.3    1.31
yolov5s                                end_to_end        6       93.4      116.8    1.25
pp_ocrv5_mobile_det_static             end_to_end        6      115.3      137.6    1.19
mode=end_to_end n=45 p50=2.02 p90=4.17 max=19.33 records=45
  heavy(ncnn>=100ms) n=11 p50=1.81 p90=2.37 max=19.33
