model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
pp_ocrv5_server_rec                    end_to_end        6      455.4     8677.1   19.06
pp_formulanet_plus_s_encoder           end_to_end        6       59.5      965.0   16.22
resnet18_winograd                      end_to_end        6       11.7       58.6    4.99
pp_ocrv6_small_rec_int8                end_to_end        6        9.5       44.0    4.63
pp_ocrv6_medium_rec_int8               end_to_end        6       26.8      117.1    4.38
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.9       10.8    3.75
chineseocr_lite_anglenet               end_to_end        6        0.8        2.9    3.52
pp_ocrv6_tiny_rec                      end_to_end        6        3.1        9.2    2.93
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.1        8.8    2.81
pp_ocrv6_small_rec                     end_to_end        6       11.9       33.6    2.81
yolov5n_cls                            end_to_end        6        3.3        9.1    2.78
efficientnet_b0                        end_to_end        6        9.9       25.7    2.60
squeezenet_v1_1                        end_to_end        6        5.3       13.2    2.48
efficientnet_b2                        end_to_end        6       20.9       50.5    2.41
pp_ocrv5_server_det_static             end_to_end        6     4650.2    11155.8    2.40
pp_ocrv6_medium_rec                    end_to_end        6       40.1       94.1    2.35
pp_ocrv6_tiny_det                      end_to_end        6       51.2      112.4    2.20
resnet34                               end_to_end        6       23.4       50.1    2.14
yolov5l_cls                            end_to_end        6       30.0       63.8    2.13
efficientnet_b3                        end_to_end        6       37.7       79.9    2.12
yolov5m_cls                            end_to_end        6       14.1       28.6    2.03
pp_ocrv5_mobile_rec_int8               end_to_end        6       21.0       42.3    2.01
yolov5x_cls                            end_to_end        6       50.1      100.5    2.01
efficientnet_b1                        end_to_end        6       17.0       34.2    2.01
yolov5l_seg                            end_to_end        6      411.2      821.4    2.00
resnet18                               end_to_end        6       15.6       30.9    1.98
yolov5l                                end_to_end        6      320.0      623.5    1.95
yolov5x                                end_to_end        6      517.8      991.0    1.91
pp_ocrv6_small_det                     end_to_end        6       98.4      187.4    1.91
resnet50                               end_to_end        6       32.0       61.0    1.90
pp_ocrv6_medium_det_int8               end_to_end        6        3.8        7.1    1.89
yolov5s_cls                            end_to_end        6        6.9       12.8    1.87
yolov5x_seg                            end_to_end        6      651.5     1208.1    1.85
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.2        7.7    1.83
pp_structrurev2_slanet_plus_cnn        end_to_end        6       41.8       75.3    1.80
resnet101                              end_to_end        6       53.6       94.5    1.76
pp_ocrv6_medium_det                    end_to_end        6      425.5      661.2    1.55
yolov5m_seg                            end_to_end        6      243.2      375.9    1.54
yolov5m                                end_to_end        6      177.9      269.2    1.51
yolov5n_seg                            end_to_end        6       66.4       94.1    1.42
pp_ocrv5_mobile_rec                    end_to_end        6       24.1       33.8    1.40
yolov5s_seg                            end_to_end        6      134.5      184.0    1.37
yolov5s                                end_to_end        6       92.4      118.7    1.28
yolov5n                                end_to_end        6       51.4       61.7    1.20
pp_ocrv5_mobile_det_static             end_to_end        6      114.6      135.1    1.18
mode=end_to_end n=45 p50=2.01 p90=4.13 max=19.06 records=45
  heavy(ncnn>=100ms) n=11 p50=1.85 p90=2.40 max=19.06
