model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
pp_ocrv5_server_rec                    end_to_end        6      447.7     8093.3   18.08
pp_formulanet_plus_s_encoder           end_to_end        6       53.4      382.3    7.16
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.7       12.0    4.39
pp_ocrv6_medium_rec_int8               end_to_end        6       23.3      100.1    4.30
pp_ocrv6_small_rec_int8                end_to_end        6        9.4       34.6    3.68
pp_ocrv6_tiny_rec                      end_to_end        6        2.9        9.2    3.16
chineseocr_lite_anglenet               end_to_end        6        0.8        2.4    2.89
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.0        8.4    2.79
pp_ocrv6_small_rec                     end_to_end        6       10.9       28.9    2.65
yolov5n_cls                            end_to_end        6        3.0        7.6    2.50
efficientnet_b2                        end_to_end        6       19.6       46.8    2.40
yolov5l_cls                            end_to_end        6       27.6       60.7    2.20
resnet34                               end_to_end        6       19.2       42.1    2.19
pp_ocrv6_medium_rec                    end_to_end        6       37.3       80.7    2.16
resnet18                               end_to_end        6       11.9       25.6    2.16
efficientnet_b0                        end_to_end        6        9.8       20.8    2.13
squeezenet_v1_1                        end_to_end        6        6.0       12.6    2.12
pp_ocrv5_server_det_static             end_to_end        6     4573.5     9588.6    2.10
efficientnet_b3                        end_to_end        6       35.7       74.5    2.09
pp_ocrv6_medium_det_int8               end_to_end        6        3.5        7.2    2.07
pp_ocrv6_tiny_det                      end_to_end        6       49.0       98.6    2.01
efficientnet_b1                        end_to_end        6       15.7       31.0    1.98
yolov5x_cls                            end_to_end        6       45.2       86.6    1.92
yolov5l_seg                            end_to_end        6      379.4      725.7    1.91
yolov5l                                end_to_end        6      293.5      545.5    1.86
yolov5s_cls                            end_to_end        6        6.6       12.0    1.82
pp_ocrv6_small_det                     end_to_end        6       90.7      163.3    1.80
yolov5x_seg                            end_to_end        6      586.8     1042.6    1.78
yolov5x                                end_to_end        6      475.4      827.7    1.74
pp_ocrv5_mobile_rec_int8               end_to_end        6       20.0       33.4    1.67
resnet50                               end_to_end        6       30.3       50.1    1.65
pp_structrurev2_slanet_plus_cnn        end_to_end        6       40.3       63.2    1.57
yolov5m_cls                            end_to_end        6       15.7       24.0    1.53
yolov5m                                end_to_end        6      165.1      250.4    1.52
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.5        6.8    1.51
yolov5s_seg                            end_to_end        6      123.4      184.6    1.50
resnet101                              end_to_end        6       49.0       72.5    1.48
yolov5m_seg                            end_to_end        6      220.9      320.4    1.45
yolov5n_seg                            end_to_end        6       62.2       89.2    1.44
pp_ocrv6_medium_det                    end_to_end        6      395.6      562.2    1.42
yolov5n                                end_to_end        6       45.2       56.6    1.25
yolov5s                                end_to_end        6       88.5      104.6    1.18
pp_ocrv5_mobile_rec                    end_to_end        6       23.2       27.2    1.17
pp_ocrv5_mobile_det_static             end_to_end        6      106.7      117.1    1.10
mode=end_to_end n=44 p50=1.95 p90=3.52 max=18.08 records=44
  heavy(ncnn>=100ms) n=11 p50=1.74 p90=2.10 max=18.08
