model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
pp_ocrv5_server_rec                    end_to_end        6      446.2     8117.8   18.19
pp_formulanet_plus_s_encoder           end_to_end        6       53.5      390.5    7.30
pp_ocrv6_medium_rec_int8               end_to_end        6       22.6      101.3    4.48
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.7       11.1    4.17
pp_ocrv6_small_rec_int8                end_to_end        6        9.7       37.9    3.92
squeezenet_v1_1                        end_to_end        6        5.0       14.2    2.81
chineseocr_lite_anglenet               end_to_end        6        0.9        2.4    2.73
pp_ocrv6_small_rec                     end_to_end        6       11.7       29.5    2.53
yolov5n_cls                            end_to_end        6        2.9        7.2    2.52
resnet18                               end_to_end        6       11.1       27.6    2.48
pp_ocrv6_medium_rec                    end_to_end        6       33.8       81.5    2.41
pp_ocrv6_tiny_rec                      end_to_end        6        4.0        8.8    2.21
efficientnet_b3                        end_to_end        6       33.6       74.1    2.21
efficientnet_b1                        end_to_end        6       16.2       35.3    2.18
yolov5l_cls                            end_to_end        6       26.9       57.9    2.15
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.4        7.3    2.15
efficientnet_b0                        end_to_end        6       10.9       23.1    2.11
pp_ocrv5_server_det_static             end_to_end        6     4567.1     9604.3    2.10
efficientnet_b2                        end_to_end        6       21.8       45.7    2.09
pp_ocrv6_tiny_det                      end_to_end        6       48.7      101.0    2.07
resnet34                               end_to_end        6       20.6       41.5    2.02
pp_ocrv6_medium_det_int8               end_to_end        6        3.6        7.2    1.99
pp_lcnet_x1_0_textline_ori             end_to_end        6        3.8        7.3    1.92
resnet50                               end_to_end        6       27.2       50.9    1.88
yolov5x                                end_to_end        6      472.4      879.8    1.86
pp_structrurev2_slanet_plus_cnn        end_to_end        6       39.3       72.1    1.84
yolov5l_seg                            end_to_end        6      380.3      697.4    1.83
yolov5x_seg                            end_to_end        6      582.7     1067.3    1.83
pp_ocrv5_mobile_rec_int8               end_to_end        6       21.2       38.3    1.81
pp_ocrv6_small_det                     end_to_end        6       90.4      161.6    1.79
yolov5s_cls                            end_to_end        6        7.1       12.6    1.78
yolov5l                                end_to_end        6      303.1      536.6    1.77
yolov5m_cls                            end_to_end        6       15.1       26.2    1.74
yolov5x_cls                            end_to_end        6       47.1       81.8    1.74
pp_ocrv6_medium_det                    end_to_end        6      377.0      606.6    1.61
yolov5m_seg                            end_to_end        6      219.8      336.7    1.53
pp_ocrv5_mobile_rec                    end_to_end        6       21.2       31.0    1.46
yolov5m                                end_to_end        6      163.4      237.9    1.46
resnet101                              end_to_end        6       56.4       77.1    1.37
yolov5n_seg                            end_to_end        6       62.2       84.6    1.36
yolov5n                                end_to_end        6       44.3       60.1    1.36
yolov5s_seg                            end_to_end        6      123.3      159.5    1.29
yolov5s                                end_to_end        6       87.2      103.8    1.19
pp_ocrv5_mobile_det_static             end_to_end        6      106.3      123.7    1.16
mode=end_to_end n=44 p50=1.96 p90=3.59 max=18.19 records=44
  heavy(ncnn>=100ms) n=11 p50=1.77 p90=2.10 max=18.19
