P23 paired 6-thread summary
runs=10 rounds=5 rows_per_run=45 warmup=10 iterations=20
official_44: models=44 baseline_ratio_p50=1.900 candidate_ratio_p50=1.727 compiled_delta_median_percent=-0.83% candidate_faster_models=29
all_45: models=45 baseline_ratio_p50=1.936 candidate_ratio_p50=1.730 compiled_delta_median_percent=-0.82% candidate_faster_models=29
heavy_models_ncnn_baseline_ge_100ms: models=11 baseline_ratio_p50=1.360 candidate_ratio_p50=1.367 compiled_delta_median_percent=+0.20% candidate_faster_models=5

model                                     base_ms    cand_ms    delta%   base_r   cand_r faster
pp_ocrv6_medium_rec_int8                    94.55      52.78    -44.18    4.547    2.847  5/5
pp_ocrv6_small_rec_int8                     33.49      24.79    -26.00    3.958    2.914  5/5
pp_lcnet_x1_0_textline_ori                   6.87       5.72    -16.75    2.001    1.649  3/5
pp_ocrv5_mobile_rec_int8                    30.48      25.63    -15.91    1.650    1.363  5/5
pp_lcnet_x1_0_doc_ori                        6.51       5.56    -14.55    2.409    1.851  5/5
pp_ocrv6_tiny_rec_int8                       8.81       7.70    -12.61    4.030    3.181  5/5
yolov5m_cls                                 23.64      21.32     -9.80    2.032    1.723  5/5
pp_ocrv5_mobile_rec                         26.21      23.91     -8.80    1.233    1.148  3/5
chineseocr_lite_anglenet                     4.02       3.69     -8.19    5.014    4.779  3/5
yolov5s_cls                                 12.05      11.37     -5.67    1.936    1.697  3/5
pp_ocrv6_medium_det_int8                     8.26       7.82     -5.34    2.372    2.221  4/5
pp_ocrv6_small_rec                          27.79      27.00     -2.85    2.844    2.406  4/5
pp_ocrv6_medium_rec                         62.47      60.81     -2.65    2.056    1.872  3/5
yolov5x_cls                                 72.14      70.25     -2.62    1.715    1.666  5/5
resnet50                                    53.60      52.39     -2.26    2.150    2.073  4/5
pp_structrurev2_slanet_plus_cnn             55.52      54.45     -1.92    1.497    1.469  4/5
yolov5l_cls                                 43.10      42.34     -1.77    1.646    1.673  4/5
efficientnet_b3                             63.50      62.39     -1.74    2.020    2.022  3/5
pp_ocrv6_tiny_det                           82.89      81.66     -1.49    1.820    1.805  2/5
pp_ocrv5_mobile_det_static                 103.85     102.52     -1.28    1.019    1.013  4/5
pp_ocrv6_small_det                         143.73     142.11     -1.13    1.769    1.730  3/5
resnet101                                   80.31      79.63     -0.85    1.864    1.830  3/5
efficientnet_b0                             20.43      20.26     -0.82    2.306    2.086  3/5
yolov5s                                     88.76      88.12     -0.72    1.138    1.119  4/5
yolov5l                                    411.05     409.11     -0.47    1.505    1.505  3/5
pp_ocrv6_medium_det                        518.31     515.99     -0.45    1.461    1.451  3/5
yolov5x_seg                                883.00     879.28     -0.42    1.635    1.619  3/5
yolov5s_seg                                139.16     138.74     -0.30    1.238    1.235  4/5
pp_formulanet_plus_s_encoder               106.50     106.34     -0.14    2.252    2.196  2/5
yolov5n_seg                                 71.55      71.58      0.04    1.257    1.257  3/5
pp_ocrv5_server_rec                        419.86     420.71      0.20    0.951    0.948  3/5
resnet34                                    38.43      38.55      0.31    2.059    2.150  2/5
yolov5m                                    188.55     189.33      0.41    1.278    1.280  4/5
resnet18                                    24.54      24.65      0.42    2.286    2.162  2/5
yolov5m_seg                                274.45     275.90      0.53    1.360    1.367  4/5
pp_ocrv5_server_det_static                3932.91    3955.73      0.58    0.888    0.889  0/5
yolov5l_seg                                585.24     589.28      0.69    1.683    1.698  2/5
yolov5x                                    699.23     707.20      1.14    1.605    1.633  0/5
yolov5n                                     48.64      49.36      1.48    1.169    1.196  2/5
efficientnet_b2                             40.81      42.20      3.39    2.096    2.355  2/5
resnet18_winograd                           55.63      57.58      3.50    4.719    5.408  1/5
squeezenet_v1_1                              9.97      10.36      3.90    2.058    2.102  3/5
efficientnet_b1                             29.30      30.67      4.65    2.149    1.940  2/5
pp_ocrv6_tiny_rec                            7.72       8.24      6.69    2.587    2.846  2/5
yolov5n_cls                                  6.47       6.97      7.83    2.311    2.509  1/5
