model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
chineseocr_lite_anglenet               end_to_end        6        0.8        3.8    4.90
resnet18_winograd                      end_to_end        6       12.1       57.6    4.75
pp_ocrv6_medium_rec_int8               end_to_end        6       22.8       99.6    4.36
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.5        9.6    3.81
pp_ocrv6_small_rec_int8                end_to_end        6       10.0       36.6    3.66
pp_ocrv6_tiny_rec                      end_to_end        6        3.2        9.1    2.83
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.2        7.9    2.46
yolov5n_cls                            end_to_end        6        3.2        7.5    2.38
pp_ocrv6_medium_det_int8               end_to_end        6        3.8        8.8    2.35
resnet18                               end_to_end        6       11.4       26.4    2.31
pp_ocrv6_small_rec                     end_to_end        6       12.3       27.7    2.26
efficientnet_b0                        end_to_end        6       10.0       21.8    2.17
pp_formulanet_plus_s_encoder           end_to_end        6       51.7      111.4    2.15
efficientnet_b1                        end_to_end        6       15.1       31.4    2.08
resnet34                               end_to_end        6       20.2       40.8    2.02
efficientnet_b2                        end_to_end        6       21.6       43.5    2.01
efficientnet_b3                        end_to_end        6       33.6       66.9    1.99
squeezenet_v1_1                        end_to_end        6        6.0       11.9    1.97
pp_ocrv6_tiny_det                      end_to_end        6       50.0       91.5    1.83
yolov5l_cls                            end_to_end        6       24.9       45.5    1.82
resnet50                               end_to_end        6       30.5       55.4    1.82
pp_ocrv6_small_det                     end_to_end        6       87.9      159.1    1.81
resnet101                              end_to_end        6       49.4       88.3    1.79
yolov5m_cls                            end_to_end        6       13.8       24.0    1.74
yolov5x_seg                            end_to_end        6      583.3     1003.1    1.72
pp_ocrv5_mobile_rec_int8               end_to_end        6       20.7       34.8    1.68
yolov5x_cls                            end_to_end        6       46.0       77.2    1.68
yolov5s_cls                            end_to_end        6        7.2       12.0    1.66
yolov5l_seg                            end_to_end        6      379.4      625.9    1.65
yolov5x                                end_to_end        6      484.7      777.4    1.60
pp_ocrv6_medium_rec                    end_to_end        6       39.0       62.5    1.60
pp_structrurev2_slanet_plus_cnn        end_to_end        6       39.7       61.3    1.54
yolov5l                                end_to_end        6      302.4      462.0    1.53
pp_ocrv6_medium_det                    end_to_end        6      387.4      560.0    1.45
pp_lcnet_x1_0_textline_ori             end_to_end        6        4.0        5.7    1.43
pp_ocrv5_mobile_rec                    end_to_end        6       22.5       30.1    1.34
yolov5m_seg                            end_to_end        6      226.6      290.4    1.28
yolov5n_seg                            end_to_end        6       61.1       77.3    1.26
yolov5s_seg                            end_to_end        6      124.0      155.2    1.25
yolov5m                                end_to_end        6      164.1      204.5    1.25
yolov5n                                end_to_end        6       44.7       53.1    1.19
yolov5s                                end_to_end        6       89.0       98.7    1.11
pp_ocrv5_mobile_det_static             end_to_end        6      107.6      111.8    1.04
pp_ocrv5_server_rec                    end_to_end        6      449.0      428.3    0.95
pp_ocrv5_server_det_static             end_to_end        6     4572.4     4083.7    0.89
mode=end_to_end n=45 p50=1.79 p90=3.33 max=4.90 records=45
  heavy(ncnn>=100ms) n=11 p50=1.28 p90=1.65 max=1.72
