time,tool_processes,rss_sum_kib,rss_max_kib
2026-09-25T09:21:19+00:00,11,3179136,1260384
2026-09-25T09:21:21+00:00,10,3396452,1333260
2026-09-25T09:21:23+00:00,10,3729580,1421964
2026-09-25T09:21:25+00:00,9,3908724,1509240
2026-09-25T09:21:27+00:00,11,4379196,1596140
2026-09-25T09:21:29+00:00,10,4480688,1685684
2026-09-25T09:21:31+00:00,9,4676404,1772328
2026-09-25T09:21:33+00:00,8,5069360,1849528
2026-09-25T09:21:35+00:00,10,5509628,1962464
2026-09-25T09:21:37+00:00,8,5493896,2108864
2026-09-25T09:21:39+00:00,8,5777236,2270268
2026-09-25T09:21:41+00:00,8,5981876,2287740
2026-09-25T09:21:43+00:00,8,6209956,2401536
2026-09-25T09:21:45+00:00,8,4695024,2330136
2026-09-25T09:21:48+00:00,8,4262580,2421232
2026-09-25T09:21:50+00:00,8,5106756,2510360
2026-09-25T09:21:52+00:00,8,5347960,2600472
2026-09-25T09:21:54+00:00,8,5583012,2698776
2026-09-25T09:21:56+00:00,8,5839692,2781404
2026-09-25T09:21:58+00:00,8,6363704,2860568
2026-09-25T09:22:00+00:00,8,5504216,2695704
2026-09-25T09:22:02+00:00,6,3061024,1970444
2026-09-25T09:22:04+00:00,6,3136116,2036196
2026-09-25T09:22:06+00:00,6,3163824,2098372
2026-09-25T09:22:08+00:00,6,3284408,2158292
2026-09-25T09:22:10+00:00,6,3333876,2221252
2026-09-25T09:22:12+00:00,6,3599100,2284740
2026-09-25T09:22:14+00:00,6,3724376,2347968
2026-09-25T09:22:16+00:00,4,1430452,1344744
2026-09-25T09:22:18+00:00,4,1565920,1435820
2026-09-25T09:22:20+00:00,4,1732456,1528644
2026-09-25T09:22:22+00:00,4,1849496,1619592
2026-09-25T09:22:24+00:00,4,1827872,1714704
2026-09-25T09:22:26+00:00,5,1957932,1804608
2026-09-25T09:22:28+00:00,4,2100312,1884996
2026-09-25T09:22:30+00:00,4,2193600,1968640
2026-09-25T09:22:32+00:00,4,2169404,2052932
2026-09-25T09:22:34+00:00,4,2279252,2134852
2026-09-25T09:22:36+00:00,4,2325200,2216776
2026-09-25T09:22:38+00:00,4,2407596,2299572
2026-09-25T09:22:40+00:00,4,2496272,2388808
2026-09-25T09:22:42+00:00,4,2597196,2480440
2026-09-25T09:22:44+00:00,4,2711700,2570992
2026-09-25T09:22:46+00:00,4,2805628,2665288
2026-09-25T09:22:48+00:00,4,2899808,2763592
2026-09-25T09:22:50+00:00,4,3170992,2851656
2026-09-25T09:22:52+00:00,4,3380628,2931220
2026-09-25T09:22:54+00:00,4,3005264,2486112
2026-09-25T09:22:56+00:00,2,455720,450888
2026-09-25T09:22:58+00:00,2,481776,476944
2026-09-25T09:23:00+00:00,2,139884,135052
2026-09-25T09:23:02+00:00,2,154912,150080
2026-09-25T09:23:04+00:00,2,154756,149924
2026-09-25T09:23:06+00:00,2,185844,181012
2026-09-25T09:23:08+00:00,1,4972,4972
2026-09-25T09:23:10+00:00,2,202184,197308
2026-09-25T09:23:12+00:00,2,249564,244688
2026-09-25T09:23:14+00:00,2,359864,354988
2026-09-25T09:23:16+00:00,2,491908,487032
2026-09-25T09:23:18+00:00,2,692696,687820
2026-09-25T09:23:20+00:00,2,252888,248012
2026-09-25T09:23:22+00:00,2,634984,630108
2026-09-25T09:23:24+00:00,2,171888,167012
2026-09-25T09:23:26+00:00,2,208488,203612
2026-09-25T09:23:28+00:00,2,164832,159956
2026-09-25T09:23:30+00:00,2,208828,203952
2026-09-25T09:23:32+00:00,2,209080,204204
2026-09-25T09:23:34+00:00,2,267868,262992
2026-09-25T09:23:36+00:00,2,143908,139236
2026-09-25T09:23:38+00:00,2,124004,119332
2026-09-25T09:23:40+00:00,2,115408,110736
2026-09-25T09:23:42+00:00,2,139964,135292
2026-09-25T09:23:44+00:00,2,245768,240880
2026-09-25T09:23:46+00:00,2,162320,157432
2026-09-25T09:23:48+00:00,2,22872,17984
2026-09-25T09:23:50+00:00,2,152428,147540
2026-09-25T09:23:52+00:00,2,171268,166380
2026-09-25T09:23:54+00:00,2,149452,144564
2026-09-25T09:23:56+00:00,2,172476,167588
2026-09-25T09:23:58+00:00,2,120108,115496
2026-09-25T09:24:00+00:00,2,94152,89540
2026-09-25T09:24:02+00:00,2,125384,120772
2026-09-25T09:24:04+00:00,2,125820,121208
2026-09-25T09:24:06+00:00,2,254872,249988
2026-09-25T09:24:08+00:00,2,178380,173496
2026-09-25T09:24:10+00:00,2,130896,126012
2026-09-25T09:24:12+00:00,2,147808,142924
2026-09-25T09:24:14+00:00,2,135068,130184
2026-09-25T09:24:16+00:00,2,46672,42056
2026-09-25T09:24:18+00:00,2,132124,127484
2026-09-25T09:24:20+00:00,2,137544,132904
2026-09-25T09:24:22+00:00,2,123160,118520
2026-09-25T09:24:24+00:00,2,115788,111060
2026-09-25T09:24:26+00:00,2,138072,133344
2026-09-25T09:24:28+00:00,2,148908,144180
2026-09-25T09:24:30+00:00,2,130008,125280
2026-09-25T09:24:32+00:00,2,163804,159076
2026-09-25T09:24:34+00:00,2,131312,126584
2026-09-25T09:24:36+00:00,2,147528,142800
2026-09-25T09:24:38+00:00,2,164732,160004
2026-09-25T09:24:40+00:00,2,160248,155524
2026-09-25T09:24:42+00:00,2,291792,287068
2026-09-25T09:24:44+00:00,2,418852,414128
2026-09-25T09:24:46+00:00,2,343636,338912
2026-09-25T09:24:48+00:00,2,148588,143864
2026-09-25T09:24:50+00:00,2,132896,128172
2026-09-25T09:24:52+00:00,2,154904,150180
2026-09-25T09:24:54+00:00,2,8680,4844
2026-09-25T09:24:56+00:00,2,180856,176012
2026-09-25T09:24:58+00:00,2,311580,306736
2026-09-25T09:25:00+00:00,2,433284,428440
2026-09-25T09:25:02+00:00,2,362180,357336
2026-09-25T09:25:04+00:00,2,164092,159248
2026-09-25T09:25:06+00:00,2,137224,132380
2026-09-25T09:25:08+00:00,2,171036,166192
2026-09-25T09:25:10+00:00,2,171472,166628
2026-09-25T09:25:12+00:00,2,123196,118564
2026-09-25T09:25:14+00:00,2,110416,105784
2026-09-25T09:25:16+00:00,2,152740,148108
2026-09-25T09:25:18+00:00,2,131244,126612
2026-09-25T09:25:20+00:00,3,79132,74388
2026-09-25T09:25:22+00:00,2,135660,130900
2026-09-25T09:25:24+00:00,2,157860,153100
2026-09-25T09:25:26+00:00,2,135096,130272
2026-09-25T09:25:28+00:00,2,162232,157408
2026-09-25T09:25:30+00:00,2,172932,168108
2026-09-25T09:25:32+00:00,2,145892,141068
2026-09-25T09:25:34+00:00,2,172036,167212
2026-09-25T09:25:36+00:00,2,154124,149412
2026-09-25T09:25:38+00:00,2,220748,216024
2026-09-25T09:25:40+00:00,2,384348,379624
2026-09-25T09:25:42+00:00,2,457908,453184
2026-09-25T09:25:44+00:00,2,621768,617044
2026-09-25T09:25:46+00:00,2,698328,693604
2026-09-25T09:25:48+00:00,2,895772,891048
2026-09-25T09:25:50+00:00,2,971140,966416
2026-09-25T09:25:52+00:00,2,1045496,1040772
2026-09-25T09:25:54+00:00,2,1346800,1342076
2026-09-25T09:25:56+00:00,2,1404896,1400172
2026-09-25T09:25:58+00:00,2,1421768,1417044
2026-09-25T09:26:00+00:00,2,404692,399968
2026-09-25T09:26:02+00:00,2,834968,830244
2026-09-25T09:26:04+00:00,2,1302356,1297632
2026-09-25T09:26:06+00:00,2,1232936,1228212
2026-09-25T09:26:08+00:00,2,1189112,1184388
2026-09-25T09:26:10+00:00,2,256016,251292
2026-09-25T09:26:12+00:00,2,261836,257112
2026-09-25T09:26:14+00:00,2,152860,148136
2026-09-25T09:26:16+00:00,2,255736,251012
2026-09-25T09:26:18+00:00,2,261804,257080
2026-09-25T09:26:20+00:00,2,294076,289352
2026-09-25T09:26:22+00:00,2,354688,349964
2026-09-25T09:26:24+00:00,2,414520,409796
2026-09-25T09:26:26+00:00,2,547520,542796
2026-09-25T09:26:28+00:00,2,278912,274016
2026-09-25T09:26:30+00:00,2,314264,309360
2026-09-25T09:26:32+00:00,2,402232,397328
2026-09-25T09:26:34+00:00,2,410788,405884
2026-09-25T09:26:36+00:00,2,562024,557120
2026-09-25T09:26:38+00:00,2,664392,659488
2026-09-25T09:26:40+00:00,2,739256,734352
2026-09-25T09:26:42+00:00,2,937312,932408
2026-09-25T09:26:44+00:00,2,1012316,1007412
2026-09-25T09:26:46+00:00,2,1064704,1059800
2026-09-25T09:26:48+00:00,2,1367876,1362972
2026-09-25T09:26:50+00:00,2,1441384,1436480
2026-09-25T09:26:52+00:00,2,1446160,1441256
2026-09-25T09:26:54+00:00,2,472168,467264
2026-09-25T09:26:56+00:00,2,895468,890564
2026-09-25T09:26:58+00:00,2,1322132,1317228
2026-09-25T09:27:00+00:00,2,1221748,1216844
2026-09-25T09:27:02+00:00,2,168780,163876
2026-09-25T09:27:04+00:00,2,286304,281400
2026-09-25T09:27:06+00:00,2,296952,292048
2026-09-25T09:27:08+00:00,2,307228,302324
2026-09-25T09:27:10+00:00,2,271704,266800
2026-09-25T09:27:12+00:00,2,289724,284820
2026-09-25T09:27:14+00:00,2,303072,298168
2026-09-25T09:27:16+00:00,2,316256,311352
2026-09-25T09:27:18+00:00,2,375456,370552
2026-09-25T09:27:20+00:00,2,456188,451284
2026-09-25T09:27:22+00:00,2,602948,598044
2026-09-25T09:27:24+00:00,4,259004,183972
2026-09-25T09:27:26+00:00,4,415640,216828
2026-09-25T09:27:28+00:00,4,368592,220128
2026-09-25T09:27:30+00:00,4,310592,179552
2026-09-25T09:27:32+00:00,4,269740,138820
2026-09-25T09:27:34+00:00,4,314948,179440
2026-09-25T09:27:36+00:00,4,319416,159600
2026-09-25T09:27:38+00:00,4,933744,686272
2026-09-25T09:27:40+00:00,4,462816,245668
2026-09-25T09:27:42+00:00,4,373592,218308
2026-09-25T09:27:44+00:00,4,396620,227020
2026-09-25T09:27:46+00:00,4,386356,228816
2026-09-25T09:27:48+00:00,4,399992,230952
2026-09-25T09:27:50+00:00,4,209772,109256
2026-09-25T09:27:52+00:00,4,282808,167508
2026-09-25T09:27:54+00:00,4,323660,208472
2026-09-25T09:27:56+00:00,4,339252,215688
2026-09-25T09:27:58+00:00,4,368456,221584
2026-09-25T09:28:00+00:00,4,325264,168484
2026-09-25T09:28:03+00:00,4,324248,185576
2026-09-25T09:28:05+00:00,4,376892,210600
2026-09-25T09:28:07+00:00,4,393168,221548
2026-09-25T09:28:09+00:00,4,370656,221616
2026-09-25T09:28:11+00:00,2,166436,161780
2026-09-25T09:28:13+00:00,2,292072,287336
2026-09-25T09:28:15+00:00,2,514432,509688
2026-09-25T09:28:17+00:00,2,397252,392508
2026-09-25T09:28:19+00:00,2,514932,510188
2026-09-25T09:28:21+00:00,2,558728,553984
2026-09-25T09:28:23+00:00,2,673268,668524
2026-09-25T09:28:25+00:00,2,791560,786816
2026-09-25T09:28:27+00:00,2,989072,984328
2026-09-25T09:28:29+00:00,2,1055116,1050372
2026-09-25T09:28:31+00:00,2,1121524,1116780
2026-09-25T09:28:33+00:00,2,1699308,1694564
2026-09-25T09:28:35+00:00,2,1497140,1492396
2026-09-25T09:28:37+00:00,2,1552328,1547584
2026-09-25T09:28:39+00:00,2,1604084,1599340
2026-09-25T09:28:41+00:00,2,1654608,1649864
2026-09-25T09:28:43+00:00,2,1705292,1700548
2026-09-25T09:28:45+00:00,2,1757628,1752884
2026-09-25T09:28:47+00:00,2,1809140,1804396
2026-09-25T09:28:49+00:00,2,2359976,2355232
2026-09-25T09:28:51+00:00,2,2424876,2420132
2026-09-25T09:28:53+00:00,2,2502168,2497424
2026-09-25T09:28:55+00:00,2,2577864,2573120
2026-09-25T09:28:57+00:00,2,2651088,2646344
2026-09-25T09:28:59+00:00,2,2723968,2719224
2026-09-25T09:29:01+00:00,2,2794700,2789956
2026-09-25T09:29:03+00:00,2,2840196,2835452
2026-09-25T09:29:05+00:00,2,2840196,2835452
2026-09-25T09:29:07+00:00,2,2840196,2835452
2026-09-25T09:29:09+00:00,2,374792,370048
2026-09-25T09:29:11+00:00,2,800948,796204
2026-09-25T09:29:13+00:00,2,1310016,1305272
2026-09-25T09:29:15+00:00,2,1630080,1625336
2026-09-25T09:29:17+00:00,2,2317532,2312788
2026-09-25T09:29:19+00:00,2,2662672,2657928
2026-09-25T09:29:21+00:00,2,2985328,2980584
2026-09-25T09:29:23+00:00,2,2534932,2530188
2026-09-25T09:29:25+00:00,2,2534932,2530188
2026-09-25T09:29:27+00:00,2,2534932,2530188
2026-09-25T09:29:29+00:00,2,340412,335668
2026-09-25T09:29:31+00:00,2,362680,357936
2026-09-25T09:29:33+00:00,2,363960,359216
2026-09-25T09:29:35+00:00,2,448400,443656
2026-09-25T09:29:37+00:00,2,340672,335928
2026-09-25T09:29:39+00:00,2,359436,354692
2026-09-25T09:29:41+00:00,2,361040,356296
2026-09-25T09:29:43+00:00,2,362440,357696
2026-09-25T09:29:45+00:00,2,405016,400272
2026-09-25T09:29:47+00:00,2,458860,454116
2026-09-25T09:29:49+00:00,2,508648,503904
2026-09-25T09:29:51+00:00,2,550828,546084
2026-09-25T09:29:53+00:00,2,586036,581292
2026-09-25T09:29:55+00:00,2,621016,616272
2026-09-25T09:29:57+00:00,2,653768,649024
2026-09-25T09:29:59+00:00,2,694172,689428
2026-09-25T09:30:01+00:00,2,755620,750876
2026-09-25T09:30:03+00:00,2,817604,812860
2026-09-25T09:30:05+00:00,1,4948,4948
2026-09-25T09:30:07+00:00,2,372912,368008
2026-09-25T09:30:09+00:00,2,291444,286540
2026-09-25T09:30:11+00:00,2,529020,524116
2026-09-25T09:30:13+00:00,2,573980,569076
2026-09-25T09:30:15+00:00,2,695600,690696
2026-09-25T09:30:17+00:00,2,825648,820744
2026-09-25T09:30:19+00:00,2,1015284,1010380
2026-09-25T09:30:21+00:00,2,1084412,1079508
2026-09-25T09:30:23+00:00,2,1150340,1145436
2026-09-25T09:30:25+00:00,2,1459620,1454716
2026-09-25T09:30:27+00:00,2,1518140,1513236
2026-09-25T09:30:29+00:00,2,1573152,1568248
2026-09-25T09:30:31+00:00,2,1627092,1622188
2026-09-25T09:30:33+00:00,2,1676604,1671700
2026-09-25T09:30:35+00:00,2,1725168,1720264
2026-09-25T09:30:37+00:00,2,1776916,1772012
2026-09-25T09:30:39+00:00,2,1827864,1822960
2026-09-25T09:30:41+00:00,2,2379260,2374356
2026-09-25T09:30:43+00:00,2,2444664,2439760
2026-09-25T09:30:45+00:00,2,2521696,2516792
2026-09-25T09:30:47+00:00,2,2597648,2592744
2026-09-25T09:30:49+00:00,2,2671912,2667008
2026-09-25T09:30:51+00:00,2,2744432,2739528
2026-09-25T09:30:53+00:00,2,2816328,2811424
2026-09-25T09:30:55+00:00,2,2858164,2853260
2026-09-25T09:30:57+00:00,2,2858164,2853260
2026-09-25T09:30:59+00:00,2,2858164,2853260
2026-09-25T09:31:01+00:00,2,391016,386112
2026-09-25T09:31:03+00:00,2,815820,810916
2026-09-25T09:31:05+00:00,2,1329272,1324368
