model                                  mode              T   ncnn(ms)   cmpd(ms)   ratio
chineseocr_lite_anglenet               end_to_end        6        0.8        4.0    5.07
pp_ocrv6_medium_rec_int8               end_to_end        6       20.3       99.8    4.92
pp_ocrv6_small_rec_int8                end_to_end        6        9.0       36.8    4.11
pp_ocrv6_tiny_rec_int8                 end_to_end        6        2.7       10.8    4.07
pp_ocrv6_tiny_rec                      end_to_end        6        3.2        8.4    2.62
pp_ocrv6_medium_det_int8               end_to_end        6        3.6        9.1    2.55
squeezenet_v1_1                        end_to_end        6        5.0       12.7    2.54
resnet18                               end_to_end        6       11.3       27.8    2.46
pp_ocrv6_small_rec                     end_to_end        6       13.6       31.1    2.29
pp_formulanet_plus_s_encoder           end_to_end        6       53.7      119.2    2.22
efficientnet_b2                        end_to_end        6       22.0       48.1    2.18
efficientnet_b3                        end_to_end        6       32.1       68.5    2.13
yolov5n_cls                            end_to_end        6        3.4        7.2    2.12
resnet50                               end_to_end        6       27.0       56.9    2.11
yolov5s_cls                            end_to_end        6        6.2       13.0    2.09
efficientnet_b1                        end_to_end        6       15.9       32.9    2.06
pp_ocrv5_mobile_rec_int8               end_to_end        6       19.4       40.0    2.06
pp_lcnet_x1_0_doc_ori                  end_to_end        6        3.7        7.6    2.05
efficientnet_b0                        end_to_end        6       11.1       22.4    2.02
pp_lcnet_x1_0_textline_ori             end_to_end        6        3.9        7.8    2.00
pp_ocrv6_tiny_det                      end_to_end        6       48.0       94.1    1.96
resnet34                               end_to_end        6       22.1       43.0    1.95
pp_ocrv6_medium_rec                    end_to_end        6       36.1       67.1    1.86
yolov5m_cls                            end_to_end        6       13.4       24.1    1.80
resnet101                              end_to_end        6       48.8       86.5    1.77
yolov5x                                end_to_end        6      471.1      804.7    1.71
yolov5x_seg                            end_to_end        6      592.4      991.4    1.67
yolov5l_seg                            end_to_end        6      379.5      624.2    1.65
yolov5l_cls                            end_to_end        6       29.3       47.8    1.63
yolov5x_cls                            end_to_end        6       46.1       72.9    1.58
pp_ocrv6_small_det                     end_to_end        6       96.4      150.3    1.56
pp_structrurev2_slanet_plus_cnn        end_to_end        6       39.6       61.6    1.56
pp_ocrv6_medium_det                    end_to_end        6      384.5      571.2    1.49
yolov5l                                end_to_end        6      303.3      439.6    1.45
yolov5m_seg                            end_to_end        6      225.8      305.3    1.35
yolov5n_seg                            end_to_end        6       60.7       78.7    1.30
yolov5m                                end_to_end        6      166.8      206.2    1.24
yolov5n                                end_to_end        6       44.7       55.2    1.23
pp_ocrv5_mobile_rec                    end_to_end        6       22.9       27.6    1.20
yolov5s_seg                            end_to_end        6      122.8      145.3    1.18
yolov5s                                end_to_end        6       87.4       94.5    1.08
pp_ocrv5_mobile_det_static             end_to_end        6      106.5      112.7    1.06
pp_ocrv5_server_rec                    end_to_end        6      447.5      432.0    0.96
pp_ocrv5_server_det_static             end_to_end        6     4574.5     4055.4    0.89
mode=end_to_end n=44 p50=1.90 p90=2.60 max=5.07 records=44
  heavy(ncnn>=100ms) n=11 p50=1.35 p90=1.67 max=1.71
