time,rss_kib
2026-09-25T10:04:22+00:00,6609636
2026-09-25T10:04:23+00:00,6609636
2026-09-25T10:04:24+00:00,6609636
2026-09-25T10:04:25+00:00,6609636
2026-09-25T10:04:26+00:00,6609636
2026-09-25T10:04:27+00:00,6609636
2026-09-25T10:04:28+00:00,6609636
2026-09-25T10:04:29+00:00,6609636
2026-09-25T10:04:30+00:00,6609636
2026-09-25T10:04:31+00:00,6609636
2026-09-25T10:04:32+00:00,6609636
2026-09-25T10:04:33+00:00,6609636
2026-09-25T10:04:34+00:00,6609636
2026-09-25T10:04:35+00:00,6609636
2026-09-25T10:04:36+00:00,6609636
2026-09-25T10:04:37+00:00,6609636
2026-09-25T10:04:38+00:00,6609636
2026-09-25T10:04:39+00:00,7230884
2026-09-25T10:04:40+00:00,10900316
2026-09-25T10:04:41+00:00,11173788
2026-09-25T10:04:42+00:00,11292628
2026-09-25T10:04:43+00:00,6994768
2026-09-25T10:04:44+00:00,10710688
2026-09-25T10:04:45+00:00,11173628
2026-09-25T10:04:46+00:00,11295636
2026-09-25T10:04:47+00:00,6670840
2026-09-25T10:04:48+00:00,10153004
2026-09-25T10:04:49+00:00,11173628
2026-09-25T10:04:50+00:00,11295636
2026-09-25T10:04:51+00:00,6633272
2026-09-25T10:04:52+00:00,10153004
2026-09-25T10:04:53+00:00,11173628
2026-09-25T10:04:54+00:00,11295636
2026-09-25T10:04:55+00:00,11909272
2026-09-25T10:04:56+00:00,10153004
2026-09-25T10:04:57+00:00,11173628
2026-09-25T10:04:58+00:00,11295636
2026-09-25T10:04:59+00:00,11909272
2026-09-25T10:05:00+00:00,9933612
2026-09-25T10:05:01+00:00,11010180
2026-09-25T10:05:02+00:00,11295636
2026-09-25T10:05:03+00:00,11909272
2026-09-25T10:05:04+00:00,9958720
2026-09-25T10:05:05+00:00,11173628
2026-09-25T10:05:06+00:00,11295636
2026-09-25T10:05:07+00:00,11909272
2026-09-25T10:05:08+00:00,10153004
2026-09-25T10:05:09+00:00,11173628
2026-09-25T10:05:10+00:00,11295636
2026-09-25T10:05:11+00:00,11909272
2026-09-25T10:05:12+00:00,9848128
2026-09-25T10:05:13+00:00,11010180
2026-09-25T10:05:14+00:00,11295636
2026-09-25T10:05:15+00:00,11909272
2026-09-25T10:05:16+00:00,10140992
2026-09-25T10:05:17+00:00,11173628
2026-09-25T10:05:18+00:00,11295636
2026-09-25T10:05:19+00:00,11909272
2026-09-25T10:05:20+00:00,9997632
2026-09-25T10:05:22+00:00,11173628
2026-09-25T10:05:23+00:00,11295636
2026-09-25T10:05:24+00:00,11909272
2026-09-25T10:05:25+00:00,10153004
2026-09-25T10:05:26+00:00,11173628
2026-09-25T10:05:27+00:00,11295636
2026-09-25T10:05:28+00:00,11909272
2026-09-25T10:05:29+00:00,10153004
2026-09-25T10:05:30+00:00,11173628
2026-09-25T10:05:31+00:00,11295636
2026-09-25T10:05:32+00:00,8251716
2026-09-25T10:05:33+00:00,10153004
2026-09-25T10:05:34+00:00,11173628
2026-09-25T10:05:35+00:00,11295636
2026-09-25T10:05:36+00:00,11909272
2026-09-25T10:05:37+00:00,10153004
2026-09-25T10:05:38+00:00,11004540
2026-09-25T10:05:39+00:00,11212268
2026-09-25T10:05:40+00:00,11909272
2026-09-25T10:05:41+00:00,9133376
2026-09-25T10:05:42+00:00,11004540
2026-09-25T10:05:43+00:00,11212268
2026-09-25T10:05:44+00:00,11906712
