time,rss_kib
2026-09-25T09:54:47+00:00,6297356
2026-09-25T09:54:48+00:00,6297356
2026-09-25T09:54:49+00:00,6297356
2026-09-25T09:54:50+00:00,6297356
2026-09-25T09:54:51+00:00,6297356
2026-09-25T09:54:52+00:00,6297356
2026-09-25T09:54:53+00:00,6297356
2026-09-25T09:54:54+00:00,6297356
2026-09-25T09:54:55+00:00,6297356
2026-09-25T09:54:56+00:00,6297356
2026-09-25T09:54:57+00:00,6297356
2026-09-25T09:54:58+00:00,6297356
2026-09-25T09:54:59+00:00,6297356
2026-09-25T09:55:00+00:00,6297356
2026-09-25T09:55:01+00:00,6297356
2026-09-25T09:55:02+00:00,6297356
2026-09-25T09:55:03+00:00,6297356
2026-09-25T09:55:04+00:00,6401360
2026-09-25T09:55:05+00:00,6401360
2026-09-25T09:55:06+00:00,6401360
2026-09-25T09:55:07+00:00,6401360
2026-09-25T09:55:08+00:00,6401360
2026-09-25T09:55:09+00:00,8478420
2026-09-25T09:55:10+00:00,10787144
2026-09-25T09:55:11+00:00,11003876
2026-09-25T09:55:12+00:00,11507444
2026-09-25T09:55:13+00:00,9137876
2026-09-25T09:55:14+00:00,10802104
2026-09-25T09:55:15+00:00,11004196
2026-09-25T09:55:16+00:00,11701312
2026-09-25T09:55:17+00:00,9711316
2026-09-25T09:55:18+00:00,10965556
2026-09-25T09:55:19+00:00,11087560
2026-09-25T09:55:20+00:00,11701312
2026-09-25T09:55:21+00:00,9944836
2026-09-25T09:55:22+00:00,10965556
2026-09-25T09:55:23+00:00,11087560
2026-09-25T09:55:24+00:00,11701312
2026-09-25T09:55:25+00:00,9944836
2026-09-25T09:55:26+00:00,10965556
2026-09-25T09:55:27+00:00,11087560
2026-09-25T09:55:28+00:00,11701312
2026-09-25T09:55:29+00:00,9944836
2026-09-25T09:55:30+00:00,10965556
2026-09-25T09:55:31+00:00,11087560
2026-09-25T09:55:32+00:00,11701312
2026-09-25T09:55:33+00:00,9944836
2026-09-25T09:55:34+00:00,10965556
2026-09-25T09:55:35+00:00,11087560
2026-09-25T09:55:36+00:00,11701312
2026-09-25T09:55:37+00:00,9905876
2026-09-25T09:55:38+00:00,10802104
2026-09-25T09:55:39+00:00,11082892
2026-09-25T09:55:40+00:00,11701312
2026-09-25T09:55:41+00:00,9674452
2026-09-25T09:55:42+00:00,10802104
2026-09-25T09:55:43+00:00,11004196
2026-09-25T09:55:44+00:00,11698640
2026-09-25T09:55:45+00:00,8638164
2026-09-25T09:55:46+00:00,10778744
2026-09-25T09:55:47+00:00,10994476
2026-09-25T09:55:48+00:00,11218504
2026-09-25T09:55:49+00:00,7830208
2026-09-25T09:55:50+00:00,10778744
2026-09-25T09:55:51+00:00,10994476
2026-09-25T09:55:52+00:00,11250448
2026-09-25T09:55:53+00:00,7830208
2026-09-25T09:55:54+00:00,10778744
2026-09-25T09:55:55+00:00,10994476
2026-09-25T09:55:56+00:00,11186924
2026-09-25T09:55:57+00:00,7830208
2026-09-25T09:55:58+00:00,10778744
2026-09-25T09:55:59+00:00,10994476
2026-09-25T09:56:00+00:00,11175884
2026-09-25T09:56:01+00:00,7077680
2026-09-25T09:56:02+00:00,10748140
2026-09-25T09:56:03+00:00,10965556
2026-09-25T09:56:04+00:00,11158204
2026-09-25T09:56:05+00:00,7022496
2026-09-25T09:56:06+00:00,10748140
2026-09-25T09:56:07+00:00,10965556
2026-09-25T09:56:08+00:00,11158204
